Date,UBSFY,EA,TTWO,,FTSE,,ATVI,NTDOY,SNE
2020/10/28,19.08,125.599998,164.389999,,5581.799805,,79.010002,68.050003,81.599998
2020/10/29,18.379999,123.900002,162.770004,,5577.299805,,77.769997,69.540001,83.43
2020/10/30,17.610001,119.830002,154.919998,,5655,,75.730003,67.730003,83.660004
2020/11/2,17.469999,119.809998,154.029999,,5786.799805,,76.400002,68.730003,85.5
2020/11/3,18,120.739998,158.880005,,5883.299805,,76.260002,70.040001,86.410004
2020/11/4,18.700001,125.309998,163.720001,,5906.200195,,79.370003,68.480003,86.410004
2020/11/5,19.23,128.330002,168.679993,,5910,,80.139999,72.699997,90.389999
2020/11/6,19.040001,119.190002,175.190002,,6186.299805,,78.809998,70.660004,89.389999
2020/11/9,17.780001,116.970001,159.990005,,6296.899902,,75.410004,66.300003,86.610001
2020/11/10,17.35,118.93,154.889999,,6382.100098,,75.120003,64.410004,85.910004
2020/11/11,17.66,119.779999,161.570007,,6338.899902,,76.550003,63.290001,88.089996
2020/11/12,18.49,119.32,160.220001,,6316.399902,,76.709999,64.339996,87.110001
2020/11/13,18.879999,120.800003,161.830002,,6421.299805,,77.550003,65.529999,89.720001
2020/11/16,18.92,118.599998,162.389999,,6365.299805,,77.440002,63.939999,90.449997
2020/11/17,18.84,118.519997,162.199997,,6385.200195,,77.110001,64.150002,89.709999
2020/11/18,19.110001,116.839996,161.559998,,6334.399902,,75.5,64.449997,88.25
2020/11/19,19.059999,120.139999,165.580002,,6351.5,,75.93,66.82,88.849998
2020/11/20,18.51,121.870003,170.050003,,6333.799805,,76.809998,66.32,89.980003
2020/11/23,18.41,121.860001,171.190002,,6432.200195,,75.919998,66.339996,89.790001
2020/11/24,18.23,120.25,169.830002,,6391.100098,,75.230003,65.82,90.800003
2020/11/25,18.290001,121.510002,173.979996,,6362.899902,,76.510002,66.599998,93.230003
2020/11/27,18.82,124.169998,176.410004,,6367.600098,,78.139999,70,94.07
2020/11/30,18.969999,127.75,180.509995,,6266.200195,,79.480003,70.949997,93.290001
2020/12/1,18.959999,127.239998,180.059998,,6384.700195,,79.93,68.839996,94.68
2020/12/2,18.719999,129.539993,181.300003,,6463.399902,,79.150002,68.379997,92.620003
2020/12/3,18.540001,128.380005,180.759995,,6490.299805,,78.790001,67.830002,93.830002
2020/12/4,18.92,128.690002,180.729996,,6550.200195,,80.879997,68.400002,94.400002
2020/12/7,18.76,130.839996,183.389999,,6555.399902,,82.269997,69.209999,93.360001
2020/12/8,19.17,132.149994,183.600006,,6558.799805,,83.629997,70.669998,93.370003
2020/12/9,18.860001,133.169998,183.679993,,6564.299805,,82.580002,70.110001,94.129997
2020/12/10,19.040001,134.679993,187.820007,,6599.799805,,83.110001,71.150002,94.089996
2020/12/11,18.709999,135.800003,190.210007,,6546.799805,,83.68,72.790001,94.68
2020/12/14,18.59,137.539993,195.199997,,6531.799805,,85.940002,75.25,93.370003
2020/12/15,18.18,140.660004,194.699997,,6513.299805,,86.919998,74.209999,94.150002
2020/12/16,18.48,141.600006,195.119995,,6570.899902,,88.220001,76.669998,95.110001
2020/12/17,18.68,139.850006,197.399994,,6551.100098,,88.459999,82.150002,97.019997
2020/12/18,19.26,142.610001,203.389999,,6529.200195,,90.370003,80.839996,98.709999
2020/12/21,19.42,141.009995,201.770004,,6416.299805,,88.809998,78.93,99.400002
2020/12/23,19.48,141.509995,201.820007,,6495.799805,,90.209999,78.139999,97.459999
2020/12/24,19.52,141.809998,202.5,,6502.100098,,90.959999,78.580002,96.839996
2020/12/28,19.209999,140.720001,201.119995,,6602.700195,,91.43,80.25,97.949997
2020/12/29,19.559999,140.699997,202.449997,,6555.799805,,91.370003,79.660004,100.43
2020/12/30,19.450001,142.050003,206.350006,,6460.5,,91.580002,80.720001,100.779999
2020/12/31,19.25,143.600006,207.789993,,6571.899902,,92.849998,80.519997,101.099998
2021/1/4,19.92,139.509995,201.850006,,6612.299805,,89.900002,78.699997,100.07
2021/1/5,19.83,141.320007,204.740005,,6841.899902,,90.690002,80.879997,103.110001
2021/1/6,19.610001,136.800003,201.529999,,6857,,88,78.690002,101.080002
2021/1/7,19.389999,140.740005,208.009995,,6873.299805,,89.669998,79.010002,102
2021/1/8,19.49,141.860001,210.429993,,6798.5,,91.300003,80.050003,103.989998
2021/1/11,19.32,141.220001,206.539993,,6754.100098,,90.910004,79.290001,103.839996
2021/1/12,19.24,139.059998,199.149994,,6745.5,,89.25,80.309998,104.029999
2021/1/13,20.309999,136.339996,199.5,,6802,,89.769997,79.169998,103.889999
2021/1/14,20.57,138.940002,195.470001,,6735.700195,,89.989998,79.209999,103.419998
2021/1/15,20.1,139,196.279999,,6720.700195,,90.690002,78.75,102.050003
2021/1/19,20.459999,141.429993,198.729996,,6713,,93.150002,79.449997,102.230003
2021/1/20,20.58,145.600006,207.050003,,6740.399902,,95.120003,78.900002,102.889999
2021/1/21,21.24,145.970001,205.559998,,6715.399902,,94.599998,76.190002,102.550003
2021/1/22,20.780001,146,204.660004,,6695.100098,,94.43,77.489998,101.110001
2021/1/25,20.27,146.300003,203.990005,,6638.899902,,93.400002,76,99.279999
2021/1/26,20.24,146.300003,199.779999,,6654,,92.379997,75.300003,99.709999
2021/1/27,19.879999,146.229996,195.380005,,6567.399902,,88.669998,74.279999,97
2021/1/28,19.83,143.009995,200.300003,,6526.200195,,90.269997,74.879997,97.650002
2021/1/29,20,143.199997,200.449997,,6407.5,,91,72.269997,95.709999
2021/2/1,20.280001,145.869995,200.940002,,6466.399902,,91.419998,77.400002,98.529999
2021/2/2,20.07,148.970001,207.110001,,6516.700195,,93.980003,75.459999,99.239998
2021/2/3,20.040001,140.820007,202.399994,,6507.799805,,92.769997,74,111.309998
2021/2/4,19.879999,138.630005,201.490005,,6503.700195,,92.68,73.129997,110.879997
2021/2/5,20.379999,141.220001,207.490005,,6489.299805,,101.610001,75.209999,116.709999
2021/2/8,20.15,142.460007,213.339996,,6523.5,,101.190002,75.5,115.620003
2021/2/9,19.83,146.110001,200.309998,,6531.600098,,102.730003,74.160004,112.639999
2021/2/10,18.860001,144.610001,199.820007,,6524.399902,,102.760002,76.900002,113.309998
2021/2/11,18.6,147.330002,197.119995,,6528.700195,,103.239998,77.309998,113.970001
2021/2/12,18.24,147.740005,199.860001,,6589.799805,,103.809998,79.610001,113.529999
2021/2/16,18.02,145.779999,195.789993,,6748.899902,,102.959999,81.599998,114.970001
2021/2/17,17.610001,145.830002,195.929993,,6710.899902,,102.349998,81.25,114.919998
2021/2/18,17.809999,147.410004,196.229996,,6617.200195,,102.25,80.949997,113.519997
2021/2/19,17.67,145.949997,194.860001,,6624,,100.800003,81.370003,115.540001
