code,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,v_ma5,v_ma10,v_ma20,turnover
000004,2017-09-28,24.1,24.2,23.45,23.41,8714.0,-0.69,-2.86,24.056,24.309,9570.43,8823.07,15762.7,1.05
000004,2017-09-29,23.44,24.15,24.07,23.42,7680.46,0.62,2.64,24.016,24.24,9433.72,8361.41,15627.64,0.93
000004,2017-10-09,24.1,24.48,24.44,23.81,6814.02,0.37,1.54,24.074,24.208,9775.7,8308.49,15082.66,0.82
000004,2017-10-10,24.42,25.58,25.4,24.29,21272.63,0.96,3.93,24.3,24.3,10243.11,9686.56,15439.64,2.56
000004,2017-10-11,25.4,26.08,25.3,25.01,19966.77,-0.1,-0.39,24.532,24.381,12889.58,10937.6,15093.45,2.41
000004,2017-10-12,25.03,25.33,25.33,24.87,8959.57,0.03,0.12,24.908,24.482,12938.69,11254.56,13403.83,1.08
000004,2017-10-13,25.3,25.37,25.22,24.88,8056.61,-0.11,-0.43,25.138,24.577,13013.92,11223.82,12257.17,0.97
000004,2017-10-16,25.21,25.68,25.65,24.61,13212.34,0.43,1.71,25.38,24.727,14293.58,12034.64,11317.82,1.59
000004,2017-10-17,25.23,25.5,25.23,24.98,4993.85,-0.42,-1.64,25.346,24.823,11037.83,10640.47,10198.13,0.6
000004,2017-10-18,25.06,25.36,25.18,25.05,5979.29,-0.05,-0.2,25.322,24.927,8240.33,10564.95,9958.21,0.72
000004,2017-10-19,25.18,25.2,24.98,24.71,5461.0,-0.2,-0.79,25.252,25.08,7540.62,10239.65,9531.36,0.66
000004,2017-10-20,24.77,25.25,25.09,24.77,3464.84,0.11,0.44,25.226,25.182,6622.26,9818.09,9089.75,0.42
000004,2017-10-23,25.09,25.11,25.11,24.82,5261.18,0.02,0.08,25.118,25.249,5032.03,9662.81,8985.65,0.63
000004,2017-10-24,25.11,25.15,25.0,24.9,4102.24,-0.11,-0.44,25.072,25.209,4853.71,7945.77,8816.16,0.49
000004,2017-10-25,24.71,25.08,25.05,24.66,4108.09,0.05,0.2,25.046,25.184,4479.47,6359.9,8648.75,0.5
000004,2017-10-26,25.05,25.05,24.87,24.8,2442.09,-0.18,-0.72,25.024,25.138,3875.69,5708.15,8481.36,0.29
000004,2017-10-27,24.97,24.99,24.25,24.17,7090.59,-0.62,-2.49,24.856,25.041,4600.84,5611.55,8417.69,0.85
000004,2017-10-30,24.1,24.1,23.87,23.2,9890.58,-0.38,-1.57,24.608,24.863,5526.72,5279.38,8657.01,1.19
000004,2017-10-31,23.7,23.82,23.66,23.12,9122.1,-0.21,-0.88,24.34,24.706,6530.69,5692.2,8166.34,1.1
000004,2017-11-01,23.59,23.86,23.68,23.35,5574.01,0.02,0.09,24.066,24.556,6823.87,5651.67,8108.31,0.67
000004,2017-11-02,23.55,23.76,23.6,23.03,7704.0,-0.08,-0.34,23.812,24.418,7876.26,5875.97,8057.81,0.93
000004,2017-11-03,23.6,23.66,23.16,23.03,4791.0,-0.44,-1.86,23.594,24.225,7416.34,6008.59,7913.34,0.58
000004,2017-11-06,23.36,23.36,23.21,23.0,2522.21,0.05,0.22,23.462,24.035,5942.66,5734.69,7698.75,0.3
000004,2017-11-07,23.34,23.36,23.34,23.15,3374.26,0.13,0.56,23.398,23.869,4793.1,5661.89,6803.83,0.41
000004,2017-11-08,23.38,23.79,23.5,23.25,4295.46,0.16,0.69,23.362,23.714,4537.39,5680.63,6020.27,0.52
000004,2017-11-09,23.5,23.63,23.57,23.36,3067.99,0.07,0.3,23.356,23.584,3610.18,5743.22,5725.69,0.37
000004,2017-11-10,23.57,25.93,25.93,23.53,55536.54,2.36,10.01,23.91,23.752,13759.29,10587.82,8099.68,6.69
000005,2017-08-01,4.93,5.02,4.96,4.91,73435.6,0.02,0.41,4.944,4.921,62668.11,50777.34,61302.39,0.77
000005,2017-08-02,4.95,5.04,4.93,4.92,63133.0,-0.03,-0.6,4.942,4.926,57717.1,52641.31,62275.15,0.66
000005,2017-08-03,4.93,4.97,4.94,4.91,54536.1,0.01,0.2,4.94,4.928,53617.89,53119.01,62288.57,0.57
000005,2017-08-04,4.93,4.94,4.9,4.89,51589.0,-0.04,-0.81,4.934,4.927,56244.37,54628.11,62574.31,0.54
000005,2017-08-07,4.9,4.93,4.89,4.88,34670.31,-0.01,-0.2,4.924,4.924,55472.8,55143.95,61336.75,0.36
000005,2017-08-08,4.89,4.91,4.88,4.87,36956.47,-0.01,-0.2,4.908,4.926,48176.98,55422.54,55774.21,0.39
000005,2017-08-09,4.89,4.9,4.88,4.86,33257.63,0.0,0.0,4.898,4.92,42201.9,49959.5,51969.24,0.35
000005,2017-08-10,4.89,4.9,4.83,4.8,48505.31,-0.05,-1.02,4.876,4.908,40995.74,47306.82,52062.88,0.51
